log10_target,solved,evaluations,fid,iid,rep,dim,param_id
2.0,True,1,18,101,1,10,L-BFGS-B
1.8,True,1,18,101,1,10,L-BFGS-B
1.6,True,23,18,101,1,10,L-BFGS-B
1.4,True,34,18,101,1,10,L-BFGS-B
1.2,True,100,18,101,1,10,L-BFGS-B
1.0,False,704,18,101,1,10,L-BFGS-B
0.8,False,704,18,101,1,10,L-BFGS-B
0.6,False,704,18,101,1,10,L-BFGS-B
0.4,False,704,18,101,1,10,L-BFGS-B
0.2,False,704,18,101,1,10,L-BFGS-B
0.0,False,704,18,101,1,10,L-BFGS-B
-0.2,False,704,18,101,1,10,L-BFGS-B
-0.4,False,704,18,101,1,10,L-BFGS-B
-0.6,False,704,18,101,1,10,L-BFGS-B
-0.8,False,704,18,101,1,10,L-BFGS-B
-1.0,False,704,18,101,1,10,L-BFGS-B
-1.2,False,704,18,101,1,10,L-BFGS-B
-1.4,False,704,18,101,1,10,L-BFGS-B
-1.6,False,704,18,101,1,10,L-BFGS-B
-1.8,False,704,18,101,1,10,L-BFGS-B
-2.0,False,704,18,101,1,10,L-BFGS-B
-2.2,False,704,18,101,1,10,L-BFGS-B
-2.4,False,704,18,101,1,10,L-BFGS-B
-2.6,False,704,18,101,1,10,L-BFGS-B
-2.8,False,704,18,101,1,10,L-BFGS-B
-3.0,False,704,18,101,1,10,L-BFGS-B
-3.2,False,704,18,101,1,10,L-BFGS-B
-3.4,False,704,18,101,1,10,L-BFGS-B
-3.6,False,704,18,101,1,10,L-BFGS-B
-3.8,False,704,18,101,1,10,L-BFGS-B
-4.0,False,704,18,101,1,10,L-BFGS-B
-4.2,False,704,18,101,1,10,L-BFGS-B
-4.4,False,704,18,101,1,10,L-BFGS-B
-4.6,False,704,18,101,1,10,L-BFGS-B
-4.8,False,704,18,101,1,10,L-BFGS-B
-5.0,False,704,18,101,1,10,L-BFGS-B
-5.2,False,704,18,101,1,10,L-BFGS-B
-5.4,False,704,18,101,1,10,L-BFGS-B
-5.6,False,704,18,101,1,10,L-BFGS-B
-5.8,False,704,18,101,1,10,L-BFGS-B
-6.0,False,704,18,101,1,10,L-BFGS-B
-6.2,False,704,18,101,1,10,L-BFGS-B
-6.4,False,704,18,101,1,10,L-BFGS-B
-6.6,False,704,18,101,1,10,L-BFGS-B
-6.8,False,704,18,101,1,10,L-BFGS-B
-7.0,False,704,18,101,1,10,L-BFGS-B
-7.2,False,704,18,101,1,10,L-BFGS-B
-7.4,False,704,18,101,1,10,L-BFGS-B
-7.6,False,704,18,101,1,10,L-BFGS-B
-7.8,False,704,18,101,1,10,L-BFGS-B
-8.0,False,704,18,101,1,10,L-BFGS-B
2.0,True,1,18,102,1,10,L-BFGS-B
1.8,True,12,18,102,1,10,L-BFGS-B
1.6,True,133,18,102,1,10,L-BFGS-B
1.4,False,539,18,102,1,10,L-BFGS-B
1.2,False,539,18,102,1,10,L-BFGS-B
1.0,False,539,18,102,1,10,L-BFGS-B
0.8,False,539,18,102,1,10,L-BFGS-B
0.6,False,539,18,102,1,10,L-BFGS-B
0.4,False,539,18,102,1,10,L-BFGS-B
0.2,False,539,18,102,1,10,L-BFGS-B
0.0,False,539,18,102,1,10,L-BFGS-B
-0.2,False,539,18,102,1,10,L-BFGS-B
-0.4,False,539,18,102,1,10,L-BFGS-B
-0.6,False,539,18,102,1,10,L-BFGS-B
-0.8,False,539,18,102,1,10,L-BFGS-B
-1.0,False,539,18,102,1,10,L-BFGS-B
